Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,06-Mar-23,"2,385.40","2,400.00","2,424.60","2,400.00","2,409.70","2,408.70","2,412.27","46,94,338","11,32,40,34,037.10","1,55,650","26,06,276",55.52
RELIANCE,EQ,08-Mar-23,"2,408.70","2,408.70","2,419.00","2,385.00","2,416.50","2,417.35","2,407.08","72,83,694","17,53,24,25,276.00","1,82,199","41,11,112",56.44
RELIANCE,EQ,09-Mar-23,"2,417.35","2,416.00","2,416.90","2,355.10","2,360.00","2,359.25","2,377.08","74,92,509","17,81,03,28,720.90","2,32,305","45,08,290",60.17
RELIANCE,EQ,10-Mar-23,"2,359.25","2,341.50","2,344.00","2,315.05","2,326.00","2,322.70","2,324.06","61,53,681","14,30,15,40,668.50","2,57,596","33,00,623",53.64
RELIANCE,EQ,13-Mar-23,"2,322.70","2,329.00","2,344.00","2,275.00","2,288.00","2,284.50","2,307.72","58,94,088","13,60,19,04,297.45","2,56,526","26,74,835",45.38
RELIANCE,EQ,14-Mar-23,"2,284.50","2,280.00","2,304.95","2,269.05","2,279.00","2,275.95","2,285.47","73,96,699","16,90,49,04,240.65","2,66,523","34,19,876",46.24
RELIANCE,EQ,15-Mar-23,"2,275.95","2,284.10","2,298.30","2,227.40","2,237.45","2,237.05","2,263.32","1,00,27,725","22,69,59,25,219.15","3,71,953","61,37,251",61.2
RELIANCE,EQ,16-Mar-23,"2,237.05","2,243.00","2,254.00","2,202.20","2,229.50","2,225.90","2,229.58","84,74,595","18,89,47,58,462.15","3,66,871","47,38,415",55.91
RELIANCE,EQ,17-Mar-23,"2,225.90","2,244.75","2,251.95","2,212.70","2,224.40","2,223.10","2,226.05","1,56,97,554","34,94,35,97,049.60","3,02,341","1,14,67,951",73.06
RELIANCE,EQ,20-Mar-23,"2,223.10","2,215.00","2,220.00","2,180.00","2,211.15","2,201.25","2,194.09","90,10,595","19,77,00,27,745.25","3,69,095","50,60,920",56.17
RELIANCE,EQ,21-Mar-23,"2,201.25","2,218.95","2,274.00","2,217.00","2,272.00","2,269.70","2,256.48","98,76,263","22,28,55,72,145.65","3,42,611","51,72,557",52.37
RELIANCE,EQ,22-Mar-23,"2,269.70","2,285.00","2,291.45","2,270.00","2,274.30","2,276.60","2,281.22","50,39,622","11,49,64,91,661.40","1,95,193","30,89,805",61.31
RELIANCE,EQ,23-Mar-23,"2,276.60","2,268.00","2,269.90","2,243.05","2,247.60","2,247.80","2,253.68","74,99,082","16,90,05,52,054.30","1,87,678","52,54,204",70.06
RELIANCE,EQ,24-Mar-23,"2,247.80","2,245.25","2,250.00","2,198.00","2,204.90","2,203.30","2,221.83","57,11,497","12,68,99,75,563.60","2,31,777","35,21,704",61.66
RELIANCE,EQ,27-Mar-23,"2,203.30","2,217.50","2,254.00","2,200.20","2,238.80","2,237.55","2,237.36","64,86,068","14,51,16,43,743.50","2,17,981","33,99,932",52.42
RELIANCE,EQ,28-Mar-23,"2,237.55","2,245.00","2,256.50","2,237.00","2,247.05","2,248.00","2,246.61","58,04,018","13,03,93,73,592.90","2,00,011","36,51,674",62.92
RELIANCE,EQ,29-Mar-23,"2,248.00","2,239.00","2,244.80","2,211.10","2,242.20","2,234.70","2,228.64","86,78,073","19,34,02,93,216.90","2,94,929","53,60,948",61.78
RELIANCE,EQ,31-Mar-23,"2,234.70","2,255.00","2,343.45","2,254.70","2,330.95","2,331.05","2,315.77","1,30,01,005","30,10,73,14,074.90","4,46,320","80,37,003",61.82
RELIANCE,EQ,03-Apr-23,"2,331.05","2,345.00","2,349.00","2,315.00","2,331.05","2,331.45","2,327.86","47,50,238","11,05,78,79,559.90","1,92,147","25,98,875",54.71
RELIANCE,EQ,05-Apr-23,"2,331.45","2,348.00","2,348.00","2,308.55","2,324.10","2,325.85","2,325.64","75,05,339","17,45,47,36,439.85","2,15,635","32,86,758",43.79
RELIANCE,EQ,06-Apr-23,"2,325.85","2,318.15","2,354.00","2,318.15","2,340.15","2,341.45","2,341.09","85,07,771","19,91,74,29,621.50","2,01,019","30,66,395",36.04
RELIANCE,EQ,10-Apr-23,"2,341.45","2,350.00","2,350.40","2,321.55","2,324.05","2,324.85","2,337.29","59,81,688","13,98,09,69,369.40","1,46,678","24,97,661",41.76
RELIANCE,EQ,11-Apr-23,"2,324.85","2,334.00","2,341.00","2,324.05","2,334.10","2,336.35","2,333.10","48,65,301","11,35,12,55,127.75","1,51,084","32,37,435",66.54
RELIANCE,EQ,12-Apr-23,"2,336.35","2,336.35","2,367.80","2,330.05","2,346.70","2,346.65","2,347.57","83,89,646","19,69,52,62,387.55","1,87,546","54,37,346",64.81
RELIANCE,EQ,13-Apr-23,"2,346.65","2,353.00","2,365.80","2,342.00","2,356.00","2,355.50","2,354.04","57,12,541","13,44,75,64,946.75","1,73,375","32,83,242",57.47
RELIANCE,EQ,17-Apr-23,"2,355.50","2,424.95","2,424.95","2,349.05","2,367.35","2,367.45","2,371.58","82,74,452","19,62,34,93,252.40","1,98,022","52,43,193",63.37
